Datum;Pocet.potvrdenych.PCR.testami;Dennych.PCR.testov;Dennych.PCR.prirastkov;Pocet.umrti;AgTests;AgPosit;Pocet.hospitalizovanych
26.06.2021;391551;2553;20;12505;42893;33;171
27.06.2021;391566;804;15;12509;33607;22;172
28.06.2021;391609;5588;43;12510;41538;41;161
29.06.2021;391642;5987;33;12510;36942;24;159
30.06.2021;391659;5384;17;12511;66737;38;146
01.07.2021;391676;5442;17;12511;8473;11;135
02.07.2021;391696;8272;20;12513;14306;13;128
03.07.2021;391717;4675;21;12513;9182;9;125
04.07.2021;391720;1187;3;12513;6986;9;126
05.07.2021;391735;2889;15;12514;6658;10;120
06.07.2021;391780;5637;45;12516;13129;12;106
07.07.2021;391813;5245;33;12516;10985;16;101
08.07.2021;391852;5671;39;12517;10039;11;102
09.07.2021;391893;8903;41;12519;14593;19;92
10.07.2021;391918;4699;25;12519;8492;9;97
11.07.2021;391925;1032;7;12521;6800;8;98
12.07.2021;391953;6528;28;12522;10624;14;88
13.07.2021;391971;4697;18;12523;8322;14;85
14.07.2021;392000;5909;29;12524;7959;12;82
15.07.2021;392034;6155;34;12524;9364;9;77
16.07.2021;392071;9384;37;12524;11718;11;78
17.07.2021;392100;6275;29;12524;7979;8;80
18.07.2021;392104;1168;4;12527;5864;7;81
